2.845982	1
1.419005	2
0.974771	3
0.749752	4
0.817387	5
0.778835	6
0.760651	7
0.751623	8
0.740583	9
0.753847	10
0.746565	11
0.739336	12
0.741214	13
0.743735	14
0.742850	15
0.742398	16
0.746812	17
0.739692	18
0.743749	19
0.741008	20
0.738898	21
0.744805	22
0.747183	23
0.742903	24
0.738397	25
0.742481	26
0.738408	27
0.736463	28
0.741545	29
0.741886	30
0.742507	31
0.737217	32
0.747164	33
0.738531	34
0.739923	35
0.736617	36
0.749689	37
0.737729	38
0.738486	39
0.742828	40
0.737771	41
0.740208	42
0.737873	43
0.739218	44
0.742218	45
0.739171	46
0.740319	47
0.740734	48
0.744107	49
0.749243	50
0.738046	51
0.740663	52
0.744123	53
0.745579	54
0.736858	55
0.739156	56
0.744104	57
0.739349	58
0.740869	59
0.740718	60
0.738992	61
0.743296	62
0.739813	63
0.745576	64
0.740553	65
0.757715	66
0.739803	67
0.739844	68
0.739512	69
0.738047	70
0.740376	71
0.738260	72
0.738839	73
0.737102	74
0.740501	75
0.741107	76
0.749412	77
0.738400	78
0.737835	79
0.739830	80
0.738341	81
0.740549	82
0.740209	83
0.741075	84
0.738754	85
0.737977	86
0.743944	87
0.740701	88
0.739197	89
0.737591	90
0.744909	91
0.738175	92
0.741416	93
0.740019	94
0.739140	95
0.740275	96
0.743447	97
0.739853	98
0.740124	99
0.741616	100
